ci_id,biome,ci_divisio,ci_divis_1,country,new_or_con,new_or_c_1,ci_sls_1,ci_sls_2,ecosystem,tstor_ic,ha_high_ic,ha_ic,tonnes_ha_ic,tstor_blue_ic
NCL1016,Terrestrial + Marine,Asia-Pacific Field Division,NA,New Caledonia,New this year,New this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Seagrass,1.2826166152954102,1.1333510875701904,1.1333510875701904,0.1291658222855398,1.2826166152954102
TLS1050,Terrestrial,Asia-Pacific Field Division,NA,Timor-Leste,Continued this year,Continued this year,Not Applicable,Not Applicable,Primary forest,92.2513427734375,193.4394989013672,291.6827087402344,0.01798355922566309,0
TLS1050,Terrestrial,Asia-Pacific Field Division,NA,Timor-Leste,Continued this year,Continued this year,Not Applicable,Not Applicable,Secondary forest,330.75018310546875,564.20233154296875,650.7093505859375,0.06447673635910232,0
TLS1050,Terrestrial,Asia-Pacific Field Division,NA,Timor-Leste,Continued this year,Continued this year,Not Applicable,Not Applicable,Grassland,0.7255376577377319,0,2.7937378883361816,1.4143695957271528e-4,0
TLS1059,Terrestrial,Asia-Pacific Field Division,NA,Timor-Leste,New this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,2.044699649559334e-4,0,0.00187287619337439,3.0890154632985164e-8,0
TLS1059,Terrestrial,Asia-Pacific Field Division,NA,Timor-Leste,New this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,52.87288284301758,0,546.05859375,0.00798773319721805,0
TLS1059,Terrestrial,Asia-Pacific Field Division,NA,Timor-Leste,New this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,13.320290565490724,0,111.81588745117187,0.00201235343006479,0
TLS1060,Terrestrial,Asia-Pacific Field Division,NA,Timor-Leste,New this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,13.8027982711792,0,117.6480712890625,0.0019384890815221,0
TLS1060,Terrestrial,Asia-Pacific Field Division,NA,Timor-Leste,New this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,24.91514587402344,98.2249755859375,294.68408203125,0.00349912657509257,0
TLS1061,Terrestrial,Asia-Pacific Field Division,NA,Timor-Leste,New this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,2.0345559120178223,0,0,6.621114451557106e-4,0
TLS1061,Terrestrial,Asia-Pacific Field Division,NA,Timor-Leste,New this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,26.87332344055176,0,379.3614501953125,0.00874546377136117,0
TLS1064,Terrestrial,Asia-Pacific Field Division,NA,Timor-Leste,New this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,7.788590908050537,0,98.57525634765624,0.00374678454643223,0
TLS1064,Terrestrial,Asia-Pacific Field Division,NA,Timor-Leste,New this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,6.582247734069824,0,27.87321662902832,0.00316646032407603,0
MEX1019,Terrestrial,Americas Field Division,NA,Mexico,NA,Inactive Due to COVID,Not Applicable,Not Applicable,Primary forest,6.314300060272217,0,0,1.019414789477152e-4,0
MEX1019,Terrestrial,Americas Field Division,NA,Mexico,NA,Inactive Due to COVID,Not Applicable,Not Applicable,Secondary forest,217.66192626953125,128.58604431152344,2328.45068359375,0.00351405198719174,0
MEX1019,Terrestrial,Americas Field Division,NA,Mexico,NA,Inactive Due to COVID,Not Applicable,Not Applicable,Grassland,159.63229370117187,251.9077606201172,1448.800537109375,0.00257719017981099,0
