n_overlaps,ci_id_1,ci_id_2,ci_id_3,ci_id_4,ci_id_5,ecosystem,tstor_ic,ha_high_ic,ha_ic,tonnes_ha_ic,tstor_blue_ic
2,ECU1005,ECU1024,NA,NA,NA,Secondary forest,347.9955749511719,117.13761138916016,117.13761138916016,0.5561527153386895,0
2,ECU1005,ECU1024,NA,NA,NA,Grassland,363.23974609375,129.09922790527344,129.09922790527344,0.5805153445911508,0
2,ECU1005,ECU1024,NA,NA,NA,Wetlands,660.83343505859375,276.8839416503906,276.8839416503906,1.0561177662848118,0
2,ECU1005,ECU1024,NA,NA,NA,Mangroves,0.9993142485618591,0.48946642875671387,0.48946642875671387,0.0015970643675348507,0.9993142485618591
2,ECU1015,ECU1024,NA,NA,NA,Primary forest,327.36444091796875,181.86270141601562,181.86270141601562,0.28721704925583025,0
2,ECU1015,ECU1024,NA,NA,NA,Secondary forest,524.23583984375,274.3985290527344,274.3985290527344,0.459944490647363,0
2,ECU1015,ECU1024,NA,NA,NA,Grassland,375.5005187988281,214.57550048828125,214.57550048828125,0.3294498043251375,0
2,ECU1015,ECU1024,NA,NA,NA,Wetlands,45.61032485961914,31.676345825195312,31.676345825195312,0.040016755897633594,0
2,ECU1021,ECU1024,NA,NA,NA,Primary forest,672.77020263671875,306.0523986816406,306.06829833984375,0.30708793693344383,0
2,ECU1021,ECU1024,NA,NA,NA,Secondary forest,1974.832275390625,955.39154052734375,955.76318359375,0.9014179980957835,0
2,ECU1021,ECU1024,NA,NA,NA,Grassland,1147.1246337890625,633.42431640625,635.00604248046875,0.5236084116317985,0
2,ECU1022,ECU1024,NA,NA,NA,Primary forest,15.038003921508789,15.377777099609375,15.377777099609375,0.021225896412896895,0
2,ECU1022,ECU1024,NA,NA,NA,Secondary forest,190.7587432861328,72.25899505615234,80.62018585205078,0.2692528440596124,0
2,ECU1022,ECU1024,NA,NA,NA,Grassland,121.68797302246094,89.95976257324219,91.40943145751953,0.17176058229216082,0
2,ECU1024,ECU1025,NA,NA,NA,Primary forest,0.8111360669136047,0.45774227380752563,0.45774227380752563,0.39854912941077925,0
2,ECU1007,ECU1025,NA,NA,NA,Primary forest,5.869153022766113,4.974748611450195,4.974748611450195,0.2108856290039534,0
2,ECU1022,ECU1025,NA,NA,NA,Secondary forest,135.92898559570312,49.32732009887695,63.08719253540039,0.2672011640935051,0
2,ECU1022,ECU1025,NA,NA,NA,Grassland,64.73543548583984,25.74691390991211,25.74691390991211,0.12725309207680274,0
2,ECU1022,ECU1025,NA,NA,NA,Wetlands,10.340956687927246,19.766923904418945,19.766923904418945,0.020327641324956833,0
2,LBR1002,LBR1003,NA,NA,NA,Primary forest,73.30223846435547,98.78367614746094,132.64942932128906,0.014259694594400555,0
2,LBR1002,LBR1003,NA,NA,NA,Secondary forest,226.89813232421875,289.54241943359375,392.2437744140625,0.04413914416210581,0
2,LBR1002,LBR1003,NA,NA,NA,Grassland,338.0928039550781,395.1298522949219,489.503662109375,0.06577016241200193,0
2,LBR1002,LBR1003,NA,NA,NA,Wetlands,658.05389404296875,538.429931640625,538.429931640625,0.12801311054466263,0
2,LBR1002,LBR1003,NA,NA,NA,Mangroves,1084.6259765625,539.57257080078125,539.57257080078125,0.21099540067191178,1084.6259765625
2,LBR1013,LBR1014,NA,NA,NA,Primary forest,0.005422804970294237,0,0.085941217839717865,7.30914087936253e-4,0
2,LBR1013,LBR1014,NA,NA,NA,Secondary forest,0.019019141793251038,0,0,0.0025634996562286616,0
2,LBR1014,LBR1017,NA,NA,NA,Primary forest,73.53214263916016,0,807.3665771484375,0.012251032659359045,0
2,LBR1014,LBR1017,NA,NA,NA,Secondary forest,81.13875579833984,0,614.13323974609375,0.013518354172041202,0
2,LBR1014,LBR1017,NA,NA,NA,Wetlands,39.4730224609375,75.82899475097656,75.82899475097656,0.006576515656637769,0
2,MDG1013,MDG1014,NA,NA,NA,Primary forest,13.59643268585205,24.99018096923828,33.74953842163086,0.10332082112803923,0
2,MDG1013,MDG1014,NA,NA,NA,Secondary forest,25.0002384185791,68.23517608642578,68.23517608642578,0.1899796234413875,0
2,MDG1013,MDG1014,NA,NA,NA,Grassland,7.52380895614624,0,29.61142349243164,0.05717427043701131,0
